Venue,Region/Country,Style,Why it fits RL winter brief,Seated Dinner Capacity,Evening/Reception Capacity,Exclusive Use?,Bedrooms Onsite,Nearest Airports,Winter Notes,Published Pricing,Website,Comments
"Villa Ephrussi de Rothschild, Saint-Jean-Cap-Ferrat","Côte d’Azur, France",Belle Époque villa & formal gardens,"Marble arcades, salons, and museum_level interiors; refined Champagne service.",See site / by space,By space,By arrangement,No (museum venue); luxury hotels nearby,NCE (~30–40 min),Grand indoor patio & galleries; gardens for portraits.,"Privatization fee begins at €111,319 (2026); planners report from €94,000 + VAT for 24h.",https://events.villa-ephrussi.com/en/wedding/,
"Hôtel du Cap_Eden_Roc, Cap d’Antibes","Côte d’Azur, France",Iconic Palace hotel on sea cliffs,Legendary Riviera glamour; black_tie; Eden_Roc Lounge for ceremony.,See site / by space,See site (dancing permitted all night; per policy),By space; buyout possible,111 accommodations incl. 3 villas,NCE (~30–40 min),Multiple elegant indoor venues.,Planner guideline: 50–150k€ for events; other planners suggest €200–250k for 50–60 guests and €1.2m+ for full buyout.,https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/meetings-events/wedding/,
"Château Saint_Martin & Spa, Vence (Oetker)","Côte d’Azur, France",Knights Templar hilltop château resort,Private chapel; Matisse salon; classic Riviera interiors.,See site (multiple spaces),By space,By space; resort buyout uncommon,Hotel rooms & villas,NCE (~30–35 min),State rooms and salons suit winter format.,"“Prices start from £140,000 for the hire of the hotel including all accommodation (41 rooms & 6 villas) for a minimum of 2 days.”",https://www.oetkerhotels.com/hotels/chateau-saint-martin/meetings-events/weddings/,
"Château de la Chèvre d’Or, Èze","Côte d’Azur, France",Medieval clifftop village château (Relais & Châteaux),Terrace cocktails over the Med; Michelin_starred dining; salons for dinner.,Up to 80 (by restaurant/space; see site),By space; some music restrictions apply,By space; privatization required,Hotel (rooms & suites),NCE (~30–40 min),Indoor restaurants & salons available.,"Ceremony €2,000–€3,500; dinner €125–€240 per guest; planners cite packages from ~€64,500 (50 guests) up to min. €311,000 (120 guests).",https://www.chevredor.com/wedding/,
"Château de Berne, Flayosc (Provence)","Var, Provence, France",Wine estate with glass_roofed Orangery & salons,"Refined indoor rooms (Bacchus, Jardin du Jasmin); estate privacy.",Up to 120 indoors (per 2024 brochure),By space; dedicated dance room,By venue/space,Hotel & suites on estate,"NCE (~1h30), TLN (~1h10), MRS (~1h30)",Strong indoor Plan B (Bacchus Room).,"Wedding package from €19,500; Privatization from €95,500; Menu €125–€180 pp; Champagne/vin d’honneur €35–€50 pp; Min. F&B for privatization €36,000 (2 nights).",https://www.chateauberne.com/en/mariages-seminaires/mariages-receptions/,
"Domaine du Mont Leuze, Villefranche_sur_Mer","Côte d’Azur, France",Hilltop private domain with sea views,Multiple villas and terraces; flexible private spaces.,See site / by space,See site,Yes (domain hire),Estate villas (by arrangement),NCE (~25–30 min),Indoor villas/salons available; confirm seasonal operations.,Corporate/event formulas from €160–€230 pp (indicative); wedding pricing on request.,https://www.montleuze.com/,
"Château de Crémat, Nice (Bellet)","Côte d’Azur, France",Historic château & vineyards over Nice,Neo_Tuscan salons; Coco_adjacent lore; panoramic terraces.,By space,By space,By space,No hotel rooms (venues + suites for prep),NCE (~20–25 min),Strong indoor salons for cocktails/dinner.,"Venue rental €15,000–€25,000 (season & headcount).",https://chateaucremat.com/en/mariages/,
"Château de La Napoule, Mandelieu_la_Napoule","Côte d’Azur, France",Seaside medieval château & gardens,Gothic halls & galleries; dramatic coastal setting.,By space,20–400+ (per site),By arrangement,No (partner hotels nearby),NCE (~35–45 min),Indoor historic rooms available.,"POA. Foundation confirms year-round rental; press once reported €600,000 for large VIP wedding (2016 context).",https://www.lnaf.org/private-functions/wedding-venue/,
"Villa Eilenroc, Cap d’Antibes (Municipal)","Côte d’Azur, France",19th_century villa & gardens (city_managed),Belle Époque interiors; ceremony/reception via city permissions.,By permit / by space,By permit,By municipal hire,No,NCE (~30–40 min),Check seasonal opening & hire policy with city.,"Municipal tariff: Villa + exteriors + parking (11 ha) €35,000 (day) / €17,500 (4h); Villa alone €12,000 (day). Overtime after 1am €3,500/h.",https://www.antibesjuanlespins.com/a-voir-a-faire/culture-et-patrimoine/le-patrimoine/la-villa-eilenroc-2031716,
"Château de la Messardière (Airelles), Saint_Tropez","Var, Provence, France",19th_century château hotel (Palace),Lavish salons; five_star service; grand Riviera vibe.,See site / by space,By space,By space; buyout possible,Hotel (rooms & suites),"TLN (~1h20), NCE (~1h45–2h)",Confirm winter operating dates (some closures off_season).,POA; Airelles markets full château weddings; case studies indicate high six_figure budgets.,https://airelles.com/fr/destination/chateau-de-la-messardiere-hotel/mariages-et-evenements-saint-tropez-chateau-de-la-messardiere,
"Château d’Estoublon, Fontvieille (Alpilles)","Provence, France",Privatisable château on 300_ha estate (vines & olives),House_party exclusivity; 10 suites; butlered hospitality.,See site / by space,By space; late_night possible (confirm),Yes (privatisation),10 suites (main house),"MRS (~1h15), NCE (~2h10)",Grand salons & dining rooms for indoor sequence.,POA; estate can be privatized for several days; planners cite min. 3-day to week-long rentals.,https://www.estoublon.com/privatisation/,
