Venue,Published Venue Hire / Package (GBP),Per_Head/Menu From (GBP),Package Name/Type,Pricing Notes,Pricing Source URL(s),Region/Country,Style,Why it fits RL winter brief,Seated Dinner Capacity,Evening/Reception Capacity,Exclusive Use?,Bedrooms Onsite,Nearest Airports,Winter Notes,Website,Comments,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Published Venue Hire / Package (USD),Per_Head/Menu From (USD)
"Ashridge House, Hertfordshire, England","Typical wedding range £19,710–£24,660 (guide); packages £264–£519 pp",From £229 (twilight) to £519 pp (package),Twilight & full_day packages; bespoke available,Large on_site accommodation (189 rooms).,https://www.ashridgehouse.org.uk/en/weddings/,"Hertfordshire, England",Neo_Gothic stately home,"Sweeping stair, cloisters, heritage rooms; five_star feel outside the city.",Varies by room,Varies,Available,189,"LHR (~45–60 min), LTN",Plentiful grand indoor spaces for ceremony _ cocktails _ dinner.,https://www.ashridgehouse.org.uk/en/weddings/,,,,,,25031.7,290.83
"Cliveden House, Berkshire, England","Exclusive use per day: Midweek £45,600–£70,200 inc VAT; Fri/Sat £58,200–£87,000 inc VAT; + F&B minimum £48,000 (midweek) / £54,600 (Fri/Sat)",Private dining menus from £95 pp (guide),Exclusive Use (includes 47 bedrooms + Spring Cottage),Capacity 130 for wedding breakfast (200 evening).,https://www.clivedenhouse.co.uk/host-your-wedding/,"Berkshire, England",Grade I listed country house hotel,"Gilded salons, oak_panelled rooms, fireside cocktails; formal black_tie service.",Up to 130,Up to 180,Yes (hotel exclusive),47 + Spring Cottage,LHR (~25–35 min),Fully indoor flow; classic Champagne/tulip glassware at 5_ level.,https://www.clivedenhouse.co.uk/host-your-wedding/exclusive-use/,,,,,,57912.0,120.65
"Cowdray House, Midhurst, West Sussex, England",POA (exclusive-use country house),,Bespoke (POA),Estate includes Cowdray House and The Walled Garden.,https://www.cowdray.co.uk/event-venues/weddings/,"West Sussex, England","Exclusive_use country house on 16,000_acre estate",Buck Hall’s hammerbeam drama; weekend house_party feel with fireside lounges.,Guide: up to ~150,By layout,Yes,22 (house) + estate lodging,"LGW (~60–80 min), SOU","Pools, bowling, billiards for indoor weekend itinerary.",https://www.cowdray.co.uk/cowdray-house-weddings/,,,,,,,
"Danesfield House, Buckinghamshire, England","Ceremony room hire from ~£3,000 (brochure).",Packages ~£149–£199 pp (guide),Package-led; multiple options incl. winter offers,Luxury country house hotel between Marlow & Henley.,https://danesfieldhouse.co.uk/weddings,"Buckinghamshire, England",Neo_Tudor country house hotel,Grand Hall & Versailles Suite for formal dinners; Marlow/Henley adjacency.,Up to ~110 (wedding breakfast),To ~150 (evening),Available,Hotel (approx. 75),LHR (~35–45 min),Indoor ceremony spaces; river_valley portraits.,https://danesfieldhouse.co.uk/weddings,,,,,,3810.0,189.23
"Drumlanrig Castle, Dumfries & Galloway, Scotland",POA,,Exclusive spaces across castle & grounds,Queensberry Estate; marquee options.,https://www.drumlanrigcastle.co.uk/private-events/castle-weddings/,"Dumfries & Galloway, Scotland",Pink sandstone Renaissance castle,Front Hall & State Rooms suit formal ceremonies; estate backdrops.,Ceremony 80–120 (by room),By marquee/rooms,Yes (by arrangement),Nearby partners,GLA/EDI,Indoor ceremony; marquee/rooms for dinner as needed.,https://www.drumlanrigcastle.co.uk/private-events/castle-weddings/,,,,,,,
"Dumfries House, Ayrshire, Scotland",POA,,State Rooms & Pavilion; bespoke,The King’s Foundation estate; Adam interiors.,https://dumfries-house.org.uk/hospitality/weddings,"Ayrshire, Scotland",18th_century Palladian house (The King’s Foundation),Elegant rooms; new permanent ballroom facility planned/underway.,See site (ballroom plans ~200),See site,By arrangement,Estate accommodation (26 rooms at The Lodge),GLA/PIK,Check build/availability timeline for ballroom.,https://dumfries-house.org.uk/hospitality/weddings,,,,,,,
"Eastnor Castle, Herefordshire, England","Classic hire typically £8,000–£11,000; ‘Shindig’ (with overnight) from £12,000–£15,500 depending on day (guide).",In_house catering from £59 pp (guide),"Exclusive_use; options vary by style (‘Classic’, ‘Shindig’)",12 bedrooms on site; exclusive_use policy.,https://eastnorcastle.com/castle-wedding-venue/,"Herefordshire (nr. Cotswolds), England",19th_century castle,"Gothic Drawing Room, Octagon Room, and Great Hall for ceremony/dinner.",Ceremony up to ~150 (Great Hall),By layout; exclusive use,Yes,12 in castle + cottages,"BHX, BRS",Country_estate weekend format; roaring fires.,https://eastnorcastle.com/castle-wedding-venue/,,,,,,10160.0,74.93
"Gleneagles, Auchterarder, Perthshire, Scotland",POA (bespoke),,Ballroom & private rooms; luxury hotel wedding,5_ resort with extensive accommodations & activities.,https://gleneagles.com/occasions/weddings,"Perthshire, Scotland",Iconic country resort,Ballroom dining for formal black_tie; American Bar for cocktails.,Ballroom up to ~200 (per brochure),Drinks up to ~360,By space; resort buyout uncommon,232 (hotel),EDI/GLA,Polished 5_ service; strong winter contingency.,https://gleneagles.com/occasions/weddings/,,,,,,,
"Goodwood House, West Sussex, England","Facility fee varies (guide mins ~£7,200)",Menus from ~£130 pp (guide),Bespoke (POA),Accommodation at Goodwood Hotel available.,https://www.goodwood.com/weddings/venues/goodwood-house/,"West Sussex, England",Stately home; State Apartments hung with art,Butlered service; grand art_lined dining rooms; country_house glamour.,See floor plan/brochure,See floor plan/brochure,By house hire,Goodwood Hotel (91 rooms) on Estate,"LGW (~60–75 min), SOU",Rich interiors; ideal for black_tie & Champagne service.,https://www.goodwood.com/weddings/venues/goodwood-house/,,,,,,9144.0,165.1
"Hedsor House, Buckinghamshire, England","Dry hire from £6,450 + VAT",,"Packages: Darcy from £18,950 + VAT; Augusta from £26,950 + VAT; Florence from £45,950 + VAT",Accommodation for up to 26 included in packages.,https://www.hedsor.com/weddings/weddings-at-hedsor,"Buckinghamshire, England",Italianate/Georgian mansion; domed Centre Hall,"Dramatic domed hall for ceremony, wood_panelled salons; exclusive use.",Up to ~150 (guide),See site,Yes,Suites + cottage (The Hive),LHR (~35–45 min),Strong indoor circulation; clubby cocktail vibe.,https://www.hedsor.com/weddings/weddings-at-hedsor,,,,,,8191.5,
