Venue,Region/Country,Published Venue Hire / Package (GBP),Per-Head / Menu From (GBP),Package Name / Type,Pricing Notes,Pricing Source URL(s),Style,Why it fits RL winter brief,Seated Dinner Capacity,Evening/Reception Capacity,Exclusive Use?,Bedrooms Onsite,Nearest Airports,Winter Notes,Website,Comments,Published Venue Hire / Package (USD),Per-Head / Menu From (USD)
"Oheka Castle, Huntington, New York","New York, USA","Typical total $75,000–$120,000+ (varies)",—,Estate wedding (examples),USD pricing. Planner case study with recent Oheka budgets; exact pricing is proposal_based with date/guest count/catering.,https://www.tulledogether.com/post/how-much-does-an-oheka-castle-wedding-cost,Gilded_Age French_style chateau (1920s),"Grand salons, carved wood, library vibes; perfect black_tie winter weekend near NYC.",Up to ~200+ (varies by room),250+,Hotel; exclusive buyout available,32 rooms (hotel),JFK/LGA; ISP (MacArthur),Indoor ballrooms & lounges ideal for winter; roaring fireplaces.,https://www.oheka.com/weddings.htm,,75000.0,
"Biltmore Estate, Asheville, North Carolina","North Carolina, USA","Estimated minimum $207,313 (House & Gardens example)",—,House & Gardens (South Terrace reception),"USD pricing. Estimate includes open bar, dinner, cake, two-night stay at The Inn; actuals vary by venue on the estate.",https://www.biltmore.com/wedding-venue/biltmore-house-gardens/,American château / Vanderbilt estate,Iconic library and banquet rooms; opulent Gilded_Age setting with roaring fires.,"Varies by venue (Diana, Deerpark, Amherst)",300+ (site dependent),Partial/venue hire; full estate buyouts by arrangement,On_site hotels (Inn & Village),AVL; CLT,All_season venue; excellent winter ambiance across indoor venues.,https://www.biltmore.com/weddings/,,207313.0,
"The Greenbrier, White Sulphur Springs, West Virginia","West Virginia, USA",—,Plated dinners from $274 pp,In_house catering packages,USD pricing. Greenbrier’s wedding page lists starting per_person dinner pricing; additional venue/AV/service fees apply.,https://www.greenbrier.com/weddings/,Grand historic resort (since 1778),"Classic American grandeur, paneled rooms, Dorothy Draper glamour; formal champagne service.",Up to 600+ across ballrooms,600+,Hotel; non_exclusive unless buyout,700+ rooms/suites & cottages,ROA; LWB,Deep winter capacity with extensive indoor spaces.,https://www.greenbrier.com/gather/weddings/,,,274.0
"Sleepy Hollow Country Club, Briarcliff Manor, New York","New York, USA","Facility fee $5,000; Ceremony fee $5,000; F&B minimum $75,000",$425 pp (2026),Club Wedding (non-member events allowed),"USD pricing. Official 2026 experience brochure lists per-person pricing, fees, and F&B minimum.",https://shcckw.org/wp-content/uploads/2024/10/THE-SLEEPY-EXPERIENCE-2-1.pdf,1900s Beaux_Arts mansion (Rockefeller era),"Mahogany_rich interiors, library and drawing rooms; tuxedo_ready ambiance.",Up to ~250 (Grand Ballroom),250+,Private club; event hire by approval,Limited suites; nearby hotels,HPN; JFK/LGA,Strong winter interiors; fireplaces; Hudson Valley views.,https://sleepyhollowcc.org/catering,,5000.0,425.0
"Glenmere Mansion, Chester, New York","New York, USA","Approx. $120,000 full_property buyout (2 nights)",—,"Two_night buyout; F&B minimum $18,000",USD pricing. Article notes typical buyout level and F&B minimum; confirm with venue for current tariffs.,https://tiffanykennedy.com/blog/post/glenmere-mansion-wedding/,Gilded_Age Tuscan villa (Relais & Châteaux),"Marble fireplaces, intimate parlours, old_world library feel; refined cocktail vibe.",Barn up to 350; mansion for smaller,350 (Barn) / smaller indoors,Hotel; buyout available,15 rooms,SWF; EWR/JFK,Strong winter option with indoor salons; boutique luxury.,https://www.glenmeremansion.com/private-events/,,120000.0,
"Blantyre, Lenox, Massachusetts","Massachusetts, USA",POA (proposal_only),—,Estate wedding (exclusive use available),USD pricing. Blantyre quotes are bespoke; request proposal for current rates.,https://www.blantyre.com/weddings/,Tudor_style Gilded_Age mansion (1902),"Wood_paneled rooms, library, fireside salons; Berkshires country_house glamour.",Varies by room (~120+ historically),150+ (site dependent),Hotel; buyout typically required,20+ rooms historically,BDL; ALB,Ideal in winter with indoor spaces; confirm current re_opening status.,https://www.theknot.com/marketplace/blantyre-lenox-ma-808168,Property status evolving; confirm operations.,,
"The Mount (Edith Wharton), Lenox, Massachusetts","Massachusetts, USA",Site rental – see current fee schedule,—,Site Rental (ceremony & reception options),USD pricing. Official ‘Site Rental Fees’ brochure lists day_ and season_based rates.,https://www.edithwharton.org/wp-content/uploads/2023/10/Site-Rental-Fees-2024-2025.pdf,Turn_of_the_century literary estate,"Author’s library and salons; high_style, literary Ralph Lauren aesthetic.",Typically 50–200 (by spaces),Up to ~250 outdoors (seasonal),Exclusive evening museum rental,No bedrooms (nearby inns),BDL; ALB,Winter availability may be limited; confirm dates.,https://www.edithwharton.org/weddings-2/,,,
"Rosecliff, Newport, Rhode Island","Rhode Island, USA","Venue fee $16,000–$40,000 by season/day",—,Venue hire (Preservation Society; rentals extra),USD pricing. Recent guide details 2025 venue fee bands incl. prep/cleanup charges; catering & rentals additional.,https://sarazarrella.com/newport-ri-wedding-venues/,Gilded_Age Beaux_Arts mansion,"Ballroom glam, grand staircase, museum_level interiors; champagne in tulips.",Seated ~180 (Ballroom),200 cocktail,Exclusive evening rental,No bedrooms (nearby hotels),PVD; BOS,All_season venue; strong winter interior option.,https://www.newportmansions.org/museum-rentals-weddings/,,16000.0,
"Castle Hill Inn, Newport, Rhode Island","Rhode Island, USA","F&B minimums ~$36,000 (off_peak) to ~$62,000 (peak)",—,Venue with in_house catering (minimum spend),USD pricing. Minimum spend varies by month/day and space; confirm current figures with venue sales.,https://www.herecomestheguide.com/wedding-venues/rhode-island/castle-hill-inn,Victorian seaside mansion (Relais & Châteaux),"Cozy wood tones, library lounge energy, fires, exceptional service.",Up to ~150–250 (site dependent),Up to 250 (seasonal tent),Hotel; partial buyouts,33 accommodations,PVD; BOS,Winter focuses on indoor spaces; intimate luxury.,https://www.castlehillinn.com/weddings-events/weddings/,,36000.0,
"Pleasantdale Château, West Orange, New Jersey","New Jersey, USA","All_inclusive typically starts $30,000–$50,000",—,Estate wedding (all_inclusive),USD pricing. Independent guide summarizing recent Pleasantdale budgets; venue quotes are bespoke.,https://lapkovsky.com/pleasantdale-chateau-wedding/,Historic French_inspired château,"Arboretum conservatory + paneled rooms, maximalist cocktail hour; black_tie perfection.",200+ (Grand Ballroom),250+,Exclusive_use style (one event/day),Bridal suite & limited rooms,EWR; TEB,Year_round; strong winter interiors & conservatory.,https://pleasantdale.com/weddings/,,30000.0,
"Mansion at Natirar (Pendry Natirar), Peapack_Gladstone, New Jersey","New Jersey, USA",—,Menus typically start ~$275 pp,In_house catering packages,USD pricing. Planner breakdown with per_person menu guidance; service fees/taxes additional.,https://tulledogether.com/mansion-at-natirar-wedding-cost/,1912 Tudor_style mansion on 500 acres,"Country_house elegance, library tones; modern service via Pendry.",Up to ~225 (ballroom),225+,Venue hire; hotel on estate,Pendry rooms + cottages,EWR,All_season; fireplaces; sweeping views.,https://www.pendry.com/natirar/gatherings/weddings/,,,275.0
"Cairnwood Estate, Bryn Athyn, Pennsylvania","Pennsylvania, USA","Site fee $3,000–$11,000 (season/day)",—,Historic mansion site rental,USD pricing. Multiple sources list 2025 site_fee band; catering separate via approved list.,https://www.herecomestheguide.com/wedding-venues/pennsylvania/cairnwood-estate,Beaux_Arts Gilded_Age estate,Oak_lined library access and great hall; classic American high_fashion setting.,Sit_down up to 200,Up to 275 (stations),Exclusive single_event/day,No bedrooms (nearby hotels),PHL,Excellent winter interiors; 30_ft oak dance floor.,https://cairnwood.org/host-an-event/,,3000.0,
"Branford House Mansion (UConn Avery Point), Groton, Connecticut","Connecticut, USA","Rental fee $3,500–$6,100 (season/day)",—,Site rental (10_hour); lawn tent add’l,USD pricing. HCTG lists seasonal rental band; UConn Catering provides bar packages; lawn/tent fees may apply.,https://www.herecomestheguide.com/wedding-venues/connecticut/branford-house-mansion,Gothic_Tudor waterfront mansion,"Oak_paneled rooms, dramatic fireplaces; Newport_style glamour without the city.",Up to 150 seated,150+,Venue hire; university managed,No bedrooms (nearby hotels),PVD; BDL; HVN,Winter interiors available; check weather plans.,https://dining.uconn.edu/weddings/,,3500.0,
"Eolia Mansion at Harkness Memorial State Park, Waterford, Connecticut","Connecticut, USA",Site rental – contact venue for current rates,—,State park mansion site rental,USD pricing. Rates and availability managed by CT DEEP / Eolia events; fees vary by date and use.,https://www.herecomestheguide.com/wedding-venues/connecticut/eolia-mansion-at-harkness-memorial-state-park,Italianate summer mansion (Harkness family),"Grand salons, winter garden feel; refined stateliness for formal cocktails.",Varies by layout (~130–150),150+,Venue hire; state park managed,No bedrooms (nearby hotels),PVD; BDL; HVN,Open for events March–Dec; winter shoulder viable.,https://portal.ct.gov/deep/state-parks/parks/harkness-memorial-state-park/mansion,,,
"The Omni Homestead Resort, Hot Springs, Virginia","Virginia, USA",—,Plated dinners from $225 pp,In_house catering packages,USD pricing. Official weddings page lists starting per_person dinner price; venue/room fees vary by space.,https://www.omnihotels.com/hotels/homestead-virginia/weddings,Historic grand resort (1918),"Crystal Ballroom, wood_paneled lounges; tuxedo_friendly Southern classic.",200+,400+,Hotel; non_exclusive unless buyout,483 rooms & suites,ROA; CHO,Four_season resort; strong winter capacity and amenities.,https://www.omnihotels.com/hotels/homestead-virginia/weddings,,,225.0
